time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,SPT,,0,,0,,0
24.0,SPT,0.21897841688393416,3,0.3652816799994092,1,,0
48.0,SPT,,0,1.3652816799994092,1,,0
72.0,SPT,0.8461235707101278,2,,0,0.9036090378465008,1
96.0,SPT,1.818066849438652,5,,0,1.9036090378465007,1
120.0,SPT,2.8180668494386523,5,,0,2.9036090378465005,1
144.0,SPT,0.8941025962492469,1,,0,3.9036090378465005,1
168.0,SPT,,0,,0,4.9036090378465005,1
192.0,SPT,0.8934505373515506,2,,0,5.655759489322817,2
216.0,SPT,,0,,0,6.9036090378465005,1
240.0,SPT,,0,,0,7.527709598927079,2
264.0,SPT,0.5143381555135657,3,0.9638372895053043,1,8.527709598927078,2
288.0,SPT,1.5007812741696245,4,1.9638372895053042,1,9.527709598927078,2
312.0,SPT,,0,2.9638372895053045,1,10.527709598927078,2
336.0,SPT,,0,,0,11.527709598927078,2
360.0,SPT,,0,,0,12.527709598927078,2
384.0,SPT,,0,,0,13.9036090378465,1
408.0,SPT,0.8202399997277314,2,0.659074256109358,2,14.207187429364247,2
432.0,SPT,1.8202399997277314,2,1.659074256109358,2,15.207187429364247,2
456.0,SPT,2.732978920350649,5,2.6590742561093577,2,15.510765820881993,3
480.0,SPT,0.31674164234118746,1,3.656604995516042,3,16.510765820881993,3
504.0,SPT,,0,4.325570192471416,3,17.510765820881993,3
528.0,SPT,,0,5.325570192471416,3,17.814344212399735,4
552.0,SPT,,0,6.435797867900422,2,18.814344212399735,4
576.0,SPT,0.5077751388229543,2,7.3158035671475306,2,19.81434421239974,4
600.0,SPT,1.5077751388229543,2,8.31580356714753,2,20.117922603917485,5
624.0,SPT,2.4831905342725036,3,9.31580356714753,2,20.421500995435235,6
648.0,SPT,0.04993890537556448,1,10.31580356714753,2,22.117922603917485,5
672.0,SPT,1.01508837019962,2,,0,22.421500995435235,6
696.0,SPT,1.9802378350236753,3,,0,22.72507938695297,7
720.0,SPT,,0,,0,23.02865777847072,8
744.0,SPT,0.9140176498890563,1,,0,24.02865777847072,8
768.0,SPT,1.9140176498890564,1,,0,25.02865777847072,8
792.0,SPT,2.815553246919542,2,,0,25.33223616998847,9
816.0,SPT,,0,,0,27.02865777847072,8
840.0,SPT,0.7915368850415565,2,,0,28.028657778470716,8
864.0,SPT,1.639049199841864,6,,0,29.028657778470716,8
888.0,SPT,1.4629205357519617,3,,0,29.332236169988466,9
912.0,SPT,1.006894016712204,3,0.7740710420832168,1,28.939392953023965,11
936.0,SPT,1.9782780760738459,4,1.7740710420832169,1,29.939392953023965,11
960.0,SPT,2.9496621354354877,5,2.6436614453789504,2,30.939392953023965,11
984.0,SPT,4.06412589798892,1,3.7740710420832166,1,31.939392953023965,11
1008.0,SPT,0.9956942243323207,1,,0,32.93939295302397,11
1032.0,SPT,1.9956942243323208,1,0.4725423699274434,1,32.54654973605944,13
1056.0,SPT,0.013371253136767791,1,0.7392962186640565,1,33.54654973605944,13
1080.0,SPT,1.0005880148433177,4,1.7392962186640564,1,34.54654973605944,13
1104.0,SPT,2.0005880148433177,4,2.7392962186640566,1,35.54654973605944,13
1128.0,SPT,2.996326935412168,5,3.7392962186640566,1,36.54654973605944,13
1152.0,SPT,,0,4.739296218664056,1,38.2429713445417,12
1176.0,SPT,,0,,0,39.2429713445417,12
1200.0,SPT,,0,,0,40.2429713445417,12
1224.0,SPT,,0,,0,41.93939295302397,11
1248.0,SPT,0.8816411270788643,2,,0,42.93939295302397,11
1272.0,SPT,1.8516845448584045,3,0.4848666231538156,1,43.93939295302397,11
1296.0,SPT,2.7917713804174844,5,1.4320257607140647,2,44.93939295302397,11
1320.0,SPT,3.2201802711540344,2,,0,45.93939295302397,11
1344.0,SPT,0.46817614422207043,1,,0,45.54654973605944,13
