time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,RD+WGPS,,0,,0,,0
24.0,RD+WGPS,0.21897841688393416,3,0.3652816799994092,1,,0
48.0,RD+WGPS,,0,,0,0.9099521392243582,1
72.0,RD+WGPS,0.8461235707101278,2,,0,0.9036090378465008,1
96.0,RD+WGPS,1.818066849438652,5,,0,1.9036090378465007,1
120.0,RD+WGPS,2.8180668494386523,5,,0,2.9036090378465005,1
144.0,RD+WGPS,2.047100604930255,1,,0,3.9036090378465005,1
168.0,RD+WGPS,,0,,0,4.9036090378465005,1
192.0,RD+WGPS,0.8934505373515506,2,,0,5.655759489322817,2
216.0,RD+WGPS,,0,,0,6.9036090378465005,1
240.0,RD+WGPS,,0,,0,7.527709598927079,2
264.0,RD+WGPS,0.5143381555135657,3,0.9638372895053043,1,8.527709598927078,2
288.0,RD+WGPS,1.5007812741696245,4,1.9638372895053042,1,9.527709598927078,2
312.0,RD+WGPS,,0,2.9638372895053045,1,10.527709598927078,2
336.0,RD+WGPS,,0,,0,11.527709598927078,2
360.0,RD+WGPS,,0,,0,12.527709598927078,2
384.0,RD+WGPS,,0,,0,6.074470128367922,2
408.0,RD+WGPS,0.8202399997277314,2,0.659074256109358,2,7.065098089895248,2
432.0,RD+WGPS,1.8202399997277314,2,1.659074256109358,2,8.065098089895248,2
456.0,RD+WGPS,2.732978920350649,5,2.6590742561093577,2,8.744575920332416,3
480.0,RD+WGPS,3.8493270261867587,1,3.656604995516042,3,9.744575920332416,3
504.0,RD+WGPS,,0,4.325570192471416,3,10.744575920332414,3
528.0,RD+WGPS,,0,5.325570192471416,3,11.424053750769579,4
552.0,RD+WGPS,,0,6.493556854587045,2,12.103531581206749,5
576.0,RD+WGPS,0.5077751388229543,2,0.7467445255998039,1,13.103531581206749,5
600.0,RD+WGPS,1.5077751388229543,2,1.746744525599804,1,13.783009411643917,6
624.0,RD+WGPS,2.4831905342725036,3,2.7467445255998038,1,14.46248724208108,7
648.0,RD+WGPS,0.04993890537556448,1,,0,15.46248724208108,7
672.0,RD+WGPS,1.01508837019962,2,,0,11.31132629873282,7
696.0,RD+WGPS,1.9802378350236753,3,,0,12.200684537154718,8
720.0,RD+WGPS,,0,,0,13.090042775576618,9
744.0,RD+WGPS,0.9140176498890563,1,,0,14.090042775576618,9
768.0,RD+WGPS,1.9140176498890564,1,,0,15.090042775576618,9
792.0,RD+WGPS,2.815553246919542,2,,0,15.979401013998514,10
816.0,RD+WGPS,,0,,0,14.59120987895093,9
840.0,RD+WGPS,0.7915368850415565,2,,0,15.59120987895093,9
864.0,RD+WGPS,1.639049199841864,6,,0,16.59120987895093,9
888.0,RD+WGPS,2.704930996441927,3,,0,17.44481840923987,10
912.0,RD+WGPS,1.006894016712204,3,0.7740710420832168,1,18.15203546981775,12
936.0,RD+WGPS,1.9782780760738459,4,1.7740710420832169,1,19.15203546981775,12
960.0,RD+WGPS,2.9496621354354877,5,2.6436614453789504,2,20.152035469817754,12
984.0,RD+WGPS,,0,3.6436614453789504,2,21.152035469817754,12
1008.0,RD+WGPS,0.9956942243323207,1,,0,22.152035469817754,12
1032.0,RD+WGPS,1.9956942243323208,1,0.4725423699274434,1,22.859252530395636,14
1056.0,RD+WGPS,0.013371253136767791,1,0.7392962186640565,1,23.859252530395636,14
1080.0,RD+WGPS,1.0005880148433177,4,,0,24.712861060684574,15
1104.0,RD+WGPS,2.0005880148433177,4,,0,25.712861060684574,15
1128.0,RD+WGPS,2.996326935412168,5,,0,26.712861060684574,15
1152.0,RD+WGPS,,0,,0,25.5551601919554,14
1176.0,RD+WGPS,,0,,0,26.5551601919554,14
1200.0,RD+WGPS,,0,,0,27.5551601919554,14
1224.0,RD+WGPS,,0,,0,28.231803358145292,14
1248.0,RD+WGPS,0.8816411270788643,2,,0,28.88330041364574,15
1272.0,RD+WGPS,1.8516845448584045,3,0.4848666231538156,1,29.88330041364574,15
1296.0,RD+WGPS,2.7917713804174844,5,1.4320257607140647,2,30.88330041364574,15
1320.0,RD+WGPS,3.3124660648901263,1,2.4320257607140645,2,31.88330041364574,15
1344.0,RD+WGPS,0.46817614422207043,1,,0,32.18629452464665,17
