time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,R-risk-only,,0,,0,,0
24.0,R-risk-only,0.19523564250319816,1,,0,0.3509151622920921,3
48.0,R-risk-only,,0,,0,1.0186563729062998,2
72.0,R-risk-only,,0,0.8461235707101278,2,0.9036090378465008,1
96.0,R-risk-only,0.2532103886509738,1,1.8367713302863025,3,1.8107836162006883,2
120.0,R-risk-only,1.2532103886509738,1,2.8367713302863025,3,2.810783616200688,2
144.0,R-risk-only,,0,3.855475811133953,1,3.9036090378465005,1
168.0,R-risk-only,,0,,0,4.9036090378465005,1
192.0,R-risk-only,0.752160437048642,1,0.9008868584201247,1,5.655759489322817,2
216.0,R-risk-only,,0,,0,1.9466180673728246,1
240.0,R-risk-only,,0,,0,2.818568176977087,2
264.0,R-risk-only,,0,0.5143381555135657,3,3.6905182865813497,3
288.0,R-risk-only,,0,1.5143381555135658,3,4.562468396185612,4
312.0,R-risk-only,,0,2.260236764971986,2,5.69051828658135,3
336.0,R-risk-only,,0,,0,6.818568176977087,2
360.0,R-risk-only,,0,,0,7.818568176977087,2
384.0,R-risk-only,,0,,0,0.16261763765493242,1
408.0,R-risk-only,,0,0.8202399997277314,2,0.9438135330515524,3
432.0,R-risk-only,,0,1.8202399997277314,2,1.9438135330515522,3
456.0,R-risk-only,0.5748682129466395,3,2.820239999727731,2,2.928131865476615,4
480.0,R-risk-only,1.6272976586932657,1,3.820239999727731,2,3.9207240836966664,4
504.0,R-risk-only,,0,4.849327026186759,1,4.920724083696666,4
528.0,R-risk-only,,0,5.849327026186759,1,5.902573155528413,5
552.0,R-risk-only,,0,6.531131522283144,2,6.902573155528413,5
576.0,R-risk-only,0.5323597433734051,1,1.413179483326963,2,7.902573155528413,5
600.0,R-risk-only,1.532359743373405,1,2.4131794833269633,2,8.884422227360158,6
624.0,R-risk-only,2.532359743373405,1,3.4131794833269633,2,9.84812037102365,8
648.0,R-risk-only,,0,4.340942018539459,3,10.866271299191904,7
672.0,R-risk-only,,0,5.268704553751955,4,11.84812037102365,8
696.0,R-risk-only,0.3677974998851378,1,6.268704553751955,4,12.829969442855397,9
720.0,R-risk-only,,0,7.268704553751955,4,12.87223163755757,9
744.0,R-risk-only,,0,8.34094201853946,3,13.687249970737877,11
768.0,R-risk-only,,0,9.34094201853946,3,14.687249970737877,11
792.0,R-risk-only,,0,10.268704553751956,4,15.59475913732803,12
816.0,R-risk-only,,0,11.34094201853946,3,16.779740804147725,10
840.0,R-risk-only,0.06722038034301647,1,12.413179483326964,2,17.77974080414772,10
864.0,R-risk-only,1.0672203803430165,1,13.196467088964452,5,18.687249970737877,11
888.0,R-risk-only,2.0672203803430165,1,14.051992159389444,7,19.77974080414772,10
912.0,R-risk-only,2.9384497155869536,2,12.36362395638286,4,20.409777470508335,14
936.0,R-risk-only,3.938449715586953,2,12.804609391055687,5,21.409777470508335,14
960.0,R-risk-only,4.809679050830891,3,13.804609391055687,5,22.317286637098487,15
984.0,R-risk-only,6.0672203803430165,1,16.481653087037216,2,23.317286637098487,15
1008.0,R-risk-only,6.763644072542482,2,17.481653087037216,2,24.502268303918182,13
1032.0,R-risk-only,7.763644072542482,2,18.481653087037216,2,25.224795803688643,16
1056.0,R-risk-only,8.15649145694141,4,18.922638521710038,3,26.224795803688643,16
1080.0,R-risk-only,8.329067030345863,5,19.922638521710038,3,27.224795803688643,16
1104.0,R-risk-only,9.329067030345863,5,20.922638521710038,3,28.224795803688643,16
1128.0,R-risk-only,10.329067030345863,5,21.36362395638286,4,29.224795803688643,16
1152.0,R-risk-only,12.632682042843728,2,22.922638521710038,3,30.317286637098487,15
1176.0,R-risk-only,,0,23.922638521710038,3,31.409777470508335,14
1200.0,R-risk-only,,0,24.922638521710038,3,32.40977747050834,14
1224.0,R-risk-only,,0,25.922638521710038,3,33.40977747050834,14
1248.0,R-risk-only,,0,26.922638521710038,3,34.31728663709848,15
1272.0,R-risk-only,,0,27.36362395638286,4,35.22479580368864,16
1296.0,R-risk-only,0.14452463658211437,1,28.36362395638286,4,36.03981413686894,18
1320.0,R-risk-only,,0,29.36362395638286,4,37.22479580368864,16
1344.0,R-risk-only,,0,18.46805955034264,4,38.132304970278796,17
