time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,CVSS-only,,0,,0,,0
24.0,CVSS-only,0.9449371752984286,1,,0,0.3044603823995577,1
48.0,CVSS-only,1.9449371752984286,1,0.3390324545951972,1,1.3044603823995577,1
72.0,CVSS-only,0.7071855446103822,1,,0,2.23197251883068,2
96.0,CVSS-only,1.6328034900472197,2,,0,3.2319725188306805,2
120.0,CVSS-only,2.63280349004722,2,0.2293004194415733,1,4.159484655261803,3
144.0,CVSS-only,3.63280349004722,2,1.2293004194415733,1,5.159484655261803,3
168.0,CVSS-only,4.558421435484058,3,2.2293004194415733,1,6.159484655261803,3
192.0,CVSS-only,5.558421435484058,3,3.090226154310768,2,7.0869967916929255,4
216.0,CVSS-only,6.484039380920895,4,4.090226154310768,2,7.942021064555171,6
240.0,CVSS-only,7.558421435484058,3,5.229300419441573,1,9.014508928124048,5
264.0,CVSS-only,8.558421435484057,3,6.229300419441574,1,9.94202106455517,6
288.0,CVSS-only,9.558421435484057,3,6.898765973888317,2,10.869533200986291,7
312.0,CVSS-only,10.558421435484057,3,7.568231528335059,3,11.797045337417414,8
336.0,CVSS-only,11.558421435484057,3,8.568231528335058,3,12.724557473848538,9
360.0,CVSS-only,12.558421435484057,3,9.568231528335058,3,13.507093883141906,12
384.0,CVSS-only,13.484039380920894,4,10.568231528335058,3,14.434606019573026,13
408.0,CVSS-only,14.484039380920894,4,10.907162637228545,5,15.36211815600415,14
432.0,CVSS-only,15.484039380920894,4,11.246093746122027,7,16.36211815600415,14
456.0,CVSS-only,16.484039380920894,4,11.915559300568772,8,17.289630292435273,15
480.0,CVSS-only,17.40965732635773,5,12.91555930056877,8,18.217142428866396,16
504.0,CVSS-only,18.40965732635773,5,13.585024855015517,9,19.217142428866396,16
528.0,CVSS-only,19.40965732635773,5,14.585024855015517,9,20.217142428866396,16
552.0,CVSS-only,20.335275271794572,6,14.593421518355743,12,21.217142428866396,16
576.0,CVSS-only,21.260893217231406,7,16.254490409462253,10,22.289630292435273,15
600.0,CVSS-only,22.186511162668243,8,17.254490409462253,10,23.217142428866396,16
624.0,CVSS-only,23.186511162668246,8,18.254490409462253,10,24.072166701728637,18
648.0,CVSS-only,24.112129108105083,9,19.254490409462253,10,24.99967883815976,19
672.0,CVSS-only,25.112129108105083,9,20.254490409462253,10,25.927190974590886,20
696.0,CVSS-only,26.112129108105083,9,21.254490409462253,10,26.57643105945516,22
720.0,CVSS-only,27.03774705354192,10,21.923955963909002,11,26.463342853187783,26
744.0,CVSS-only,28.186511162668246,8,22.593421518355743,12,27.741614904754613,25
768.0,CVSS-only,29.186511162668246,8,23.26288707280248,13,28.18507080162093,27
792.0,CVSS-only,30.186511162668246,8,24.262887072802478,13,29.18507080162093,27
816.0,CVSS-only,31.186511162668246,8,25.262887072802478,13,29.906798750054083,28
840.0,CVSS-only,32.186511162668246,8,26.262887072802478,13,30.906798750054087,28
864.0,CVSS-only,33.186511162668246,8,27.262887072802478,13,31.906798750054087,28
888.0,CVSS-only,34.11212910810508,9,27.93235262724923,14,32.90679875005409,28
912.0,CVSS-only,35.11212910810508,9,29.262887072802478,13,33.90679875005409,28
936.0,CVSS-only,36.11212910810508,9,29.60181818169597,15,34.628526698487235,29
960.0,CVSS-only,37.11212910810508,9,29.940749290589455,17,35.35025464692038,30
984.0,CVSS-only,38.11212910810508,9,30.940749290589455,17,36.35025464692038,30
1008.0,CVSS-only,39.11212910810508,9,31.940749290589455,17,37.35025464692038,30
1032.0,CVSS-only,40.03774705354192,10,32.6102148450362,18,38.07198259535356,31
1056.0,CVSS-only,40.96336499897876,11,33.6102148450362,18,38.51543849221986,33
1080.0,CVSS-only,41.888982944415595,12,34.94074929058946,17,40.07198259535356,31
1104.0,CVSS-only,42.888982944415595,12,35.94074929058946,17,41.07198259535356,31
1128.0,CVSS-only,43.888982944415595,12,36.94074929058946,17,41.79371054378671,32
1152.0,CVSS-only,44.888982944415595,12,37.94074929058946,17,42.79371054378671,32
1176.0,CVSS-only,45.888982944415595,12,38.6102148450362,18,43.79371054378671,32
1200.0,CVSS-only,46.888982944415595,12,39.6102148450362,18,44.237166440653006,34
1224.0,CVSS-only,47.888982944415595,12,40.279680399482935,19,44.68062233751933,36
1248.0,CVSS-only,48.74021883528927,14,41.279680399482935,19,45.95889438908616,35
1272.0,CVSS-only,49.74021883528927,14,41.61861150837643,21,46.68062233751933,36
1296.0,CVSS-only,50.6658367807261,15,42.56204795079206,22,47.40235028595246,37
1320.0,CVSS-only,51.6658367807261,15,43.56204795079206,22,48.40235028595246,37
1344.0,CVSS-only,52.6658367807261,15,44.56204795079206,22,48.8458061828188,39
