time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,R-risk-only,,0,,0,,0
24.0,R-risk-only,0.9449371752984286,1,,0,0.3044603823995577,1
48.0,R-risk-only,1.9449371752984286,1,0.3390324545951972,1,1.3044603823995577,1
72.0,R-risk-only,,0,,0,0.8299195963358773,2
96.0,R-risk-only,0.2195444533471337,1,,0,1.8299195963358774,2
120.0,R-risk-only,1.2195444533471338,1,0.2293004194415733,1,2.805136081649744,3
144.0,R-risk-only,2.2195444533471336,1,1.2293004194415733,1,3.805136081649744,3
168.0,R-risk-only,3.0706432093374927,2,2.2293004194415733,1,4.805136081649745,3
192.0,R-risk-only,4.070643209337493,2,3.090226154310768,2,5.780352566963611,4
216.0,R-risk-only,4.921741965327852,3,4.090226154310768,2,6.730785537591345,6
240.0,R-risk-only,3.2415195731543185,1,5.090226154310768,2,7.730785537591345,6
264.0,R-risk-only,4.241519573154318,1,6.090226154310769,2,8.70600202290521,7
288.0,R-risk-only,5.241519573154318,1,6.951151889179964,3,9.681218508219077,8
312.0,R-risk-only,6.241519573154318,1,7.812077624049158,4,10.656434993532944,9
336.0,R-risk-only,7.241519573154318,1,8.812077624049158,4,11.63165147884681,10
360.0,R-risk-only,8.241519573154319,1,9.812077624049158,4,12.55730093478841,13
384.0,R-risk-only,8.802405446459689,2,10.812077624049158,4,13.532517420102279,14
408.0,R-risk-only,9.802405446459689,2,11.533929093787549,6,14.507733905416144,15
432.0,R-risk-only,10.802405446459689,2,12.255780563525938,8,15.507733905416144,15
456.0,R-risk-only,11.802405446459689,2,13.116706298395133,9,16.48295039073001,16
480.0,R-risk-only,12.363291319765057,3,14.116706298395133,9,17.45816687604388,17
504.0,R-risk-only,13.363291319765057,3,14.977632033264328,10,18.45816687604388,17
528.0,R-risk-only,14.363291319765057,3,15.977632033264328,10,19.45816687604388,17
552.0,R-risk-only,14.924177193070424,4,16.560409237871912,13,20.45816687604388,17
576.0,R-risk-only,15.290777143777369,4,17.838557768133526,11,21.45816687604388,17
600.0,R-risk-only,15.64052966731839,5,18.838557768133526,11,22.433383361357745,18
624.0,R-risk-only,16.64052966731839,5,19.838557768133526,11,23.383816331985482,20
648.0,R-risk-only,16.99028219085941,6,20.838557768133526,11,24.359032817299347,21
672.0,R-risk-only,17.99028219085941,6,21.838557768133526,11,25.261917094104753,22
696.0,R-risk-only,18.99028219085941,6,22.838557768133526,11,26.067685647715564,24
720.0,R-risk-only,19.34003471440042,7,23.699483503002718,12,26.679222754937197,28
744.0,R-risk-only,20.99028219085941,6,24.838557768133526,11,27.582107031742602,29
768.0,R-risk-only,21.99028219085941,6,25.699483503002718,12,28.38787558535342,31
792.0,R-risk-only,22.99028219085941,6,26.699483503002718,12,29.38787558535342,31
816.0,R-risk-only,23.99028219085941,6,27.699483503002718,12,30.290759862158826,32
840.0,R-risk-only,24.99028219085941,6,28.699483503002718,12,31.290759862158826,32
864.0,R-risk-only,25.99028219085941,6,29.699483503002718,12,32.29075986215882,32
888.0,R-risk-only,26.34003471440042,7,30.560409237871912,13,33.29075986215883,32
912.0,R-risk-only,27.99028219085941,6,31.699483503002718,12,34.29075986215883,32
936.0,R-risk-only,28.990282190859407,6,32.42133497274111,14,35.19364413896423,33
960.0,R-risk-only,29.990282190859407,6,33.1431864424795,16,36.09652841576964,34
984.0,R-risk-only,30.990282190859407,6,34.1431864424795,16,37.09652841576964,34
1008.0,R-risk-only,31.990282190859407,6,35.1431864424795,16,38.09652841576964,34
1032.0,R-risk-only,32.34003471440042,7,36.004112177348695,17,38.99941269257504,35
1056.0,R-risk-only,32.68978723794144,8,37.004112177348695,17,39.80518124618586,37
1080.0,R-risk-only,34.99028219085941,6,38.004112177348695,17,40.80518124618586,37
1104.0,R-risk-only,35.99028219085941,6,39.004112177348695,17,41.80518124618586,37
1128.0,R-risk-only,36.99028219085941,6,40.004112177348695,17,42.70806552299127,38
1152.0,R-risk-only,37.99028219085941,6,41.004112177348695,17,43.70806552299127,38
1176.0,R-risk-only,38.99028219085941,6,41.865037912217886,18,44.70806552299127,38
1200.0,R-risk-only,39.99028219085941,6,42.865037912217886,18,45.51383407660208,40
1224.0,R-risk-only,40.99028219085941,6,43.72596364708708,19,46.260345539721364,42
1248.0,R-risk-only,40.68978723794144,8,44.72596364708708,19,47.4167183534075,41
1272.0,R-risk-only,41.68978723794144,8,45.447815116825474,21,48.260345539721364,42
1296.0,R-risk-only,42.03953976148246,9,46.25635493640302,22,49.10397272603525,43
1320.0,R-risk-only,43.03953976148246,9,47.25635493640302,22,50.10397272603525,43
1344.0,R-risk-only,44.03953976148246,9,48.25635493640302,22,50.79122709866301,45
