scenario,policy,seed_count,high_started_median,high_arrivals_median,high_start_rate_mean,high_start_rate_lo,high_start_rate_hi,high_start_rate_n,wait_km_p50_h_mean,wait_km_p50_h_lo,wait_km_p50_h_hi,wait_km_p50_h_n,wait_km_p90_h_mean,wait_km_p90_h_lo,wait_km_p90_h_hi,wait_km_p90_h_n,wait_max_bound_h_mean,wait_max_bound_h_lo,wait_max_bound_h_hi,wait_max_bound_h_n,overline_B95_days_mean,overline_B95_days_lo,overline_B95_days_hi,overline_B95_days_n,util_mean_mean,util_mean_lo,util_mean_hi,util_mean_n,eow_start_share_mean_mean,eow_start_share_mean_lo,eow_start_share_mean_hi,eow_start_share_mean_n
S1_normal,CVSS-only,30,46.5,54.0,0.8652170187349687,0.7109753024193548,0.9806917211328976,30,59.72301162391111,40.475302465715565,83.81800584434079,30,345.2035068169228,108.15476433581384,936.6241597623764,18,838.9461812655029,254.72289986864513,1286.3341719787345,30,13.86905266857596,3.6014383734627096,23.326913812778802,30,0.8951957627090409,0.8046003972736416,0.9497626127002285,30,0.03068452380952381,0.008928571428571428,0.060338541666666655,30
S1_normal,FIFO,30,44.5,54.0,0.8077959635062784,0.6468923611111111,0.9731481481481481,30,184.24032964222232,76.40874682980595,323.1962094849894,30,305.2133531923295,132.0691619981961,479.3387401317986,30,349.90238219914863,184.0694742513155,533.7801648279548,30,6.1427584310694145,2.8068789479226117,10.679685696571655,30,0.9038662693653513,0.8281013506250366,0.9570027603691356,30,0.0510515873015873,0.006473214285714286,0.09073660714285711,30
S1_normal,R-risk-only,30,49.0,54.0,0.9098775355659677,0.8047175480769231,1.0,30,58.831552259215215,40.00064838328882,83.70980773598004,30,276.21682071951057,85.48945254630064,630.8359811656015,26,550.801519991077,217.22382563353597,1130.3220683416496,30,8.018066717145182,2.1648341298281486,18.80963829618268,30,0.9001756664768233,0.8129245425148725,0.9492128296754097,30,0.025612599206349205,0.0,0.057548363095238066,30
S1_normal,RD+WGPS,30,53.0,54.0,0.992613816829503,0.9636363636363636,1.0,30,42.19990953050233,33.69641834244066,50.024441482293575,30,84.32390028044874,71.80336827362233,93.9031072053033,30,107.01061915292806,89.26324196437794,179.38451860073502,30,1.4247123974627938,1.183465367894038,1.9988599688145439,30,0.8543740320195048,0.7813324300663714,0.9077382649036836,30,0.0006448412698412698,0.0,0.009337797619047617,30
S1_normal,RD-only,30,53.0,54.0,0.992613816829503,0.9636363636363636,1.0,30,42.19990953050233,33.69641834244066,50.024441482293575,30,84.32390028044874,71.80336827362233,93.9031072053033,30,107.01061915292806,89.26324196437794,179.38451860073502,30,1.4247123974627938,1.183465367894038,1.9988599688145439,30,0.842410605072884,0.7814859917192633,0.9036616560618073,30,0.0003472222222222222,0.0,0.0028645833333333184,30
S1_normal,SPT,30,53.0,54.0,0.988468929334481,0.9634511784511784,1.0,30,43.54231244075421,35.81917023496429,50.55007511243578,30,90.58884082103353,77.72282332803154,116.54926770109316,30,216.48891353659965,94.28890290836318,540.6084113262231,30,2.5314787196889745,1.239348140161869,6.8443839919990666,30,0.8151084329070063,0.7411557021428651,0.8722746952082192,30,0.0,0.0,0.0,30
S2_kev_burst,CVSS-only,30,46.0,54.5,0.854519879415156,0.6947474747474748,1.0,30,64.62240550132466,43.2291776610827,88.49854917290365,30,361.8213098057273,110.6379552155573,1074.6172457257771,19,799.2320531003112,207.4229295327226,1314.167144799477,30,13.219162754718514,2.608790913852312,25.938391991378065,30,0.896585188605208,0.7501529710284007,0.9538356366294732,30,0.03381448412698413,0.0,0.07727306547619046,30
S2_kev_burst,FIFO,30,43.0,54.5,0.7844516612739613,0.6242938209331652,0.9514887769125057,30,196.07494573067314,70.97408179647816,348.636601258531,30,315.0844003023145,124.51890630523822,489.21364955450156,29,348.2085063625227,145.8533213916206,506.75330038555364,30,6.455570729343269,2.36480431335752,10.5592807850018,30,0.9083372029092583,0.8180560672433277,0.9640882476760881,30,0.045157076719576715,0.0,0.10182601686507933,30
S2_kev_burst,R-risk-only,30,50.0,54.5,0.908548084935756,0.7531351981351981,1.0,30,57.89275775890681,41.255555826114644,95.00006356809484,30,214.90545427468973,86.69407033511021,396.90425677436366,26,568.3586972909657,124.07685101799102,1123.0569831225332,30,8.578906942732205,1.744096951497657,18.998691852258144,30,0.9063773504502943,0.8421575339267643,0.9542602483885179,30,0.032066798941798945,0.006473214285714286,0.0691220238095238,30
S2_kev_burst,RD+WGPS,30,54.0,54.5,0.9868477123779492,0.9298007246376812,1.0,30,42.82514127902893,35.07317339425287,54.45635654393284,30,83.90577905040404,75.4863629938058,95.00164345462738,30,124.8540676451002,88.92948426534063,263.86777120384994,30,1.5591360128637402,1.14905426886878,2.8461701952803846,30,0.8668862595844371,0.7857539576101282,0.9283516537808867,30,0.0003472222222222222,0.0,0.0028645833333333184,30
S2_kev_burst,RD-only,30,54.0,54.5,0.9868477123779492,0.9298007246376812,1.0,30,42.84954857659973,35.07317339425287,54.45635654393284,30,83.95377169892754,75.4863629938058,95.54020303095186,30,124.87980506597563,88.92948426534063,264.0801049260723,30,1.5586562713329797,1.14905426886878,2.842212327651611,30,0.8531784546859578,0.731919890763435,0.9174059038543316,30,0.0006076388888888888,0.0,0.008528645833333329,30
S2_kev_burst,SPT,30,54.0,54.5,0.977607116710055,0.9080555555555555,1.0,30,43.89782777496022,35.1707415405635,56.18678000734043,30,89.63544445979755,77.40772655792613,127.91480008299773,30,238.07112580962846,90.97784959138109,706.1043544126302,30,2.942553392089381,1.2126577562943333,9.584247391881807,30,0.8141079455145886,0.7319198907634351,0.8598396371432463,30,0.0,0.0,0.0,30
S3_lowcap_hetero,CVSS-only,30,14.5,49.5,0.29205586323813243,0.18875,0.4241192084942084,30,,,,0,,,,0,1281.6528340974914,1107.0888256623364,1343.3012651187944,30,24.435582372912283,19.698907112361216,27.122732851847356,30,0.8295340857536623,0.6950781371423485,0.9209626117886335,30,0.04736111111111111,0.0,0.13463541666666656,30
S3_lowcap_hetero,FIFO,30,12.0,49.5,0.23349171853430312,0.12116093366093367,0.36676676676676667,30,917.710930949719,671.1293101786434,1120.4194513721882,14,1132.1153960936144,,,1,1019.0318628593718,816.8819962023686,1179.3582590946753,30,19.754148489369683,14.781009488106594,24.01976877969148,30,0.823246275361641,0.5947709370249313,0.9097237306802627,30,0.06076388888888889,0.0,0.1752604166666666,30
S3_lowcap_hetero,R-risk-only,30,17.0,49.5,0.32382053403665184,0.16898034398034398,0.4450945626477541,30,766.9426460265447,651.5884197736588,890.8131195188688,4,,,,0,1252.1231334601496,1017.1869764285728,1341.1974163242132,30,23.84623580065052,16.880824897530555,27.47847800537499,30,0.837656687746893,0.725401652134485,0.9234851284834911,30,0.05986111111111111,0.0,0.21119791666666665,30
S3_lowcap_hetero,RD+WGPS,30,34.0,49.5,0.6906969730988498,0.576181592039801,0.8240080506037952,30,142.6724945973187,75.33216108959583,197.46420780534675,30,671.3440968722764,576.9988051040356,751.6651256921085,5,1075.3826940604326,618.7848869749195,1311.631953338864,30,19.590843720509202,11.420548426429711,24.72550105701639,30,0.8621592438977967,0.7990518542494356,0.9204991289868407,30,0.024097222222222228,0.0,0.07458333333333325,30
S3_lowcap_hetero,RD-only,30,34.0,49.5,0.6889266921796328,0.576181592039801,0.8165756181713628,30,141.1232855934548,75.33216108959583,197.46420780534675,30,870.9194734170111,654.138496083287,1189.8291913869036,3,1137.9689492805765,768.4021800698067,1340.866004209938,30,20.47150930311867,12.665996136687252,25.660348527175806,30,0.8580180743243707,0.8002149660220593,0.9204991289868407,30,0.017222222222222226,0.0,0.05322916666666666,30
S3_lowcap_hetero,SPT,30,34.0,49.5,0.6685746401821364,0.5791666666666666,0.7659574468085106,30,131.05945950807106,82.32763384276767,156.3740597471352,30,1088.5312287226777,,,1,1226.0675437664045,1072.0050811621245,1340.866004209938,30,22.731915996645192,17.264141468958254,26.82030482731594,30,0.8435585873515201,0.7798700294840927,0.9036866566428755,30,0.007083333333333334,0.0,0.0277083333333333,30
