scenario,policy,high_started,high_arrivals,high_started_over_arrivals,high_started_over_arrivals_disp,wait_km_p50_h,wait_km_p90_h,wait_km_p50_disp,wait_km_p90_disp,wait_max_bound_h,wait_max_bound_disp,overline_B95_days,util_mean,util_p95,eow_start_share_mean,eow_start_share_p95,t_end_h,high_censored,seed
S2_kev_burst,R-risk-only,57,62,0.9193548387096774,57/62,52.1389967444145,123.92536475978545,52.1,123.9,321.08745106616857,321.1,4.746119362855737,0.8587125842552348,0.9979271025010856,0.07559523809523809,0.23333333333333334,1344.0,5,58
S2_kev_burst,RD-only,59,62,0.9516129032258065,59/62,37.76598886533111,85.64894496728238,37.8,85.6,111.29831296060456,$\ge 111.3$,1.541779464236567,0.8108444743959267,0.9578613328721974,0.0,0.0,1344.0,3,58
S2_kev_burst,RD+WGPS,59,62,0.9516129032258065,59/62,37.76598886533111,85.64894496728238,37.8,85.6,111.29831296060456,$\ge 111.3$,1.541779464236567,0.8144514708974915,0.9709607132433147,0.0,0.0,1344.0,3,58
S3_lowcap_hetero,FIFO,12,66,0.18181818181818182,12/66,,,$> 908.3$,$> 908.3$,1001.8116164457339,$\ge 1001.8$,17.959168546491956,0.8922485095326349,0.9780227598715538,0.041666666666666664,0.21666666666666648,1344.0,54,58
S3_lowcap_hetero,SPT,37,66,0.5606060606060606,37/66,155.41401019034856,,155.4,$> 334.6$,1291.007431146891,$\ge 1291.0$,20.708340128901323,0.8385127425908825,0.9489484122661876,0.0,0.0,1344.0,29,58
S3_lowcap_hetero,CVSS-only,15,66,0.22727272727272727,15/66,,,$> 681.3$,$> 681.3$,1237.576837528663,$\ge 1237.6$,20.780099458681292,0.8944513030264292,0.9742823901455487,0.10416666666666666,0.44166666666666654,1344.0,51,58
S3_lowcap_hetero,R-risk-only,21,66,0.3181818181818182,21/66,,,$> 703.8$,$> 703.8$,1237.576837528663,$\ge 1237.6$,21.551984026075523,0.9184265874823188,0.9898093540808248,0.20833333333333331,0.44166666666666654,1344.0,45,58
S3_lowcap_hetero,RD-only,37,66,0.5606060606060606,37/66,148.13677943960624,,148.1,$> 629.7$,1066.798957787166,$\ge 1066.8$,18.82658028297153,0.8574110824319932,0.9817009916759328,0.04583333333333334,0.18833333333333332,1344.0,29,58
S3_lowcap_hetero,RD+WGPS,37,66,0.5606060606060606,37/66,148.13677943960624,,148.1,$> 629.7$,1066.798957787166,$\ge 1066.8$,18.82658028297153,0.8574110824319932,0.9817009916759328,0.04583333333333334,0.18833333333333332,1344.0,29,58
S1_normal,FIFO,39,56,0.6964285714285714,39/56,197.00020290593898,460.8424947060221,197.0,460.8,462.7128845400657,462.7,7.286538280573011,0.8716768405255498,0.9939318847369629,0.059375,0.2708333333333333,1344.0,17,59
S1_normal,SPT,56,56,1.0,56/56,48.1893859927452,80.25260255754756,48.2,80.3,406.84684350670386,406.8,4.362122114278396,0.8019083711603199,0.9771166176235448,0.0,0.0,1344.0,0,59
