time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,RD+WGPS,,0,,0,,0
24.0,RD+WGPS,0.9449371752984286,1,,0,0.3044603823995577,1
48.0,RD+WGPS,1.9449371752984286,1,0.3390324545951972,1,1.3044603823995577,1
72.0,RD+WGPS,,0,,0,0.8299195963358773,2
96.0,RD+WGPS,0.2195444533471337,1,,0,1.8299195963358774,2
120.0,RD+WGPS,1.2195444533471338,1,0.2293004194415733,1,2.805136081649744,3
144.0,RD+WGPS,2.2195444533471336,1,1.2293004194415733,1,3.805136081649744,3
168.0,RD+WGPS,3.0706432093374927,2,2.2293004194415733,1,4.805136081649745,3
192.0,RD+WGPS,4.070643209337493,2,3.090226154310768,2,5.780352566963611,4
216.0,RD+WGPS,4.921741965327852,3,4.090226154310768,2,6.730785537591345,6
240.0,RD+WGPS,,0,,0,7.706002022905211,7
264.0,RD+WGPS,,0,,0,8.681218508219077,8
288.0,RD+WGPS,,0,0.6186115083764344,1,9.656434993532944,9
312.0,RD+WGPS,,0,1.5620479507920655,2,10.63165147884681,10
336.0,RD+WGPS,,0,2.5620479507920653,2,11.606867964160678,11
360.0,RD+WGPS,,0,3.5620479507920653,2,12.532517420102279,14
384.0,RD+WGPS,0.45923703926171794,1,4.562047950792065,2,13.507733905416144,15
408.0,RD+WGPS,,0,0.9976012816923779,1,14.458166876043878,17
432.0,RD+WGPS,,0,1.8724183334826023,3,15.458166876043878,17
456.0,RD+WGPS,,0,2.809826859377714,4,16.433383361357745,18
480.0,RD+WGPS,0.23657004397468975,1,3.809826859377714,4,17.408599846671613,19
504.0,RD+WGPS,1.2365700439746898,1,4.747235385272827,5,18.408599846671613,19
528.0,RD+WGPS,2.2365700439746896,1,5.747235385272827,5,19.408599846671613,19
552.0,RD+WGPS,3.0901821673017498,2,6.559460962958163,8,20.408599846671613,19
576.0,RD+WGPS,,0,7.617344586631246,6,21.408599846671613,19
600.0,RD+WGPS,0.24191849984659086,1,8.617344586631244,6,22.383816331985482,20
624.0,RD+WGPS,1.2419184998465909,1,9.617344586631244,6,23.261917094104753,22
648.0,RD+WGPS,2.147447111246498,2,10.617344586631244,6,24.16480137091016,23
672.0,RD+WGPS,3.147447111246498,2,11.617344586631244,6,25.067685647715564,24
696.0,RD+WGPS,4.147447111246498,2,12.617344586631244,6,25.873454201326382,26
720.0,RD+WGPS,5.052975722646405,3,13.541293247619018,7,26.484991308548008,30
744.0,RD+WGPS,,0,14.617344586631244,6,27.38787558535342,31
768.0,RD+WGPS,,0,15.541293247619018,7,28.19364413896423,33
792.0,RD+WGPS,,0,16.54129324761902,7,29.19364413896423,33
816.0,RD+WGPS,,0,17.541293247619016,7,30.096528415769637,34
840.0,RD+WGPS,,0,18.541293247619016,7,31.096528415769637,34
864.0,RD+WGPS,,0,19.541293247619016,7,32.09652841576964,34
888.0,RD+WGPS,0.4585932671674063,1,20.465241908606792,8,33.09652841576964,34
912.0,RD+WGPS,,0,21.693395925643472,5,34.09652841576964,34
936.0,RD+WGPS,,0,22.541293247619016,7,34.99941269257504,35
960.0,RD+WGPS,,0,23.389190569594565,9,35.90229696938046,36
984.0,RD+WGPS,,0,24.389190569594565,9,36.90229696938046,36
1008.0,RD+WGPS,,0,25.389190569594565,9,37.90229696938046,36
1032.0,RD+WGPS,0.7742946293705396,1,26.313139230582337,10,38.80518124618586,37
1056.0,RD+WGPS,1.7063253978705666,2,27.313139230582337,10,39.610949799796686,39
1080.0,RD+WGPS,,0,28.465241908606792,8,40.610949799796686,39
1104.0,RD+WGPS,,0,29.465241908606792,8,41.610949799796686,39
1128.0,RD+WGPS,,0,30.465241908606792,8,42.51383407660208,40
1152.0,RD+WGPS,,0,31.465241908606792,8,43.51383407660208,40
1176.0,RD+WGPS,,0,32.38919056959456,9,44.51383407660208,40
1200.0,RD+WGPS,,0,33.38919056959457,9,45.260345539721364,42
1224.0,RD+WGPS,,0,34.31313923058234,10,45.94759991234914,44
1248.0,RD+WGPS,0.009063129773664969,1,35.541293247619016,7,46.94759991234914,44
1272.0,RD+WGPS,1.009063129773665,1,36.38919056959457,9,47.79122709866301,45
1296.0,RD+WGPS,1.9272554541880873,2,37.31313923058234,10,48.634854284976896,46
1320.0,RD+WGPS,2.9272554541880873,2,38.31313923058234,10,49.634854284976896,46
1344.0,RD+WGPS,3.9272554541880873,2,39.31313923058234,10,50.32210865760465,48
