time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,R-risk-only,,0,,0,,0
24.0,R-risk-only,0.21897841688393416,3,0.3652816799994092,1,,0
48.0,R-risk-only,1.024377648363244,1,,0,0.9099521392243582,1
72.0,R-risk-only,0.8461235707101278,2,,0,0.9036090378465008,1
96.0,R-risk-only,1.818066849438652,5,,0,1.9036090378465007,1
120.0,R-risk-only,2.8180668494386523,5,,0,2.9036090378465005,1
144.0,R-risk-only,3.855475811133953,1,,0,3.9036090378465005,1
168.0,R-risk-only,,0,,0,4.9036090378465005,1
192.0,R-risk-only,0.8934505373515506,2,,0,5.655759489322817,2
216.0,R-risk-only,,0,,0,1.9466180673728246,1
240.0,R-risk-only,,0,,0,2.818568176977087,2
264.0,R-risk-only,0.5143381555135657,3,0.9638372895053043,1,3.818568176977087,2
288.0,R-risk-only,1.5007812741696245,4,1.9638372895053042,1,4.818568176977087,2
312.0,R-risk-only,2.260236764971986,2,2.9638372895053045,1,5.818568176977087,2
336.0,R-risk-only,,0,,0,6.818568176977087,2
360.0,R-risk-only,,0,,0,7.818568176977087,2
384.0,R-risk-only,,0,,0,0.16261763765493242,1
408.0,R-risk-only,0.8202399997277314,2,0.659074256109358,2,0.9751768682014278,1
432.0,R-risk-only,1.8202399997277314,2,1.659074256109358,2,1.9751768682014277,1
456.0,R-risk-only,2.732978920350649,5,2.6590742561093577,2,2.8645351066233267,2
480.0,R-risk-only,3.7911529732687037,3,3.446640903314038,2,3.8645351066233267,2
504.0,R-risk-only,4.849327026186759,1,4.388881916627415,2,4.864535106623326,2
528.0,R-risk-only,5.849327026186759,1,5.388881916627415,2,5.753893345045225,3
552.0,R-risk-only,6.531131522283144,2,6.388881916627415,2,6.753893345045225,3
576.0,R-risk-only,1.3901112276403607,3,7.268887615874524,2,7.753893345045225,3
600.0,R-risk-only,2.390111227640361,3,8.268887615874522,2,8.643251583467123,4
624.0,R-risk-only,3.3424583674033075,4,9.268887615874522,2,9.532609821889023,5
648.0,R-risk-only,4.268704553751955,4,10.268887615874522,2,10.643251583467125,4
672.0,R-risk-only,5.196467088964451,5,11.268887615874522,2,11.532609821889023,5
696.0,R-risk-only,6.124229624176948,6,12.268887615874522,2,12.421968060310922,6
720.0,R-risk-only,7.196467088964451,5,13.268887615874522,2,10.80912630338655,6
744.0,R-risk-only,8.196467088964452,5,14.268887615874522,2,11.618483236735978,7
768.0,R-risk-only,9.196467088964452,5,15.268887615874522,2,12.618483236735978,7
792.0,R-risk-only,10.124229624176948,6,16.268887615874526,2,13.427840170085409,8
816.0,R-risk-only,11.268704553751956,4,17.612158304836353,1,14.427840170085409,8
840.0,R-risk-only,12.196467088964452,5,18.612158304836353,1,14.671323969642115,7
864.0,R-risk-only,12.907517229814436,9,19.612158304836353,1,15.671323969642115,7
888.0,R-risk-only,13.835279765026932,10,20.612158304836353,1,16.671323969642117,7
912.0,R-risk-only,13.306946437873684,9,20.570253941698695,2,16.974318080643023,9
936.0,R-risk-only,14.215231286062345,10,21.570253941698695,2,17.974318080643023,9
960.0,R-risk-only,15.123516134251009,11,21.528349578561038,3,18.974318080643027,9
984.0,R-risk-only,16.582091893307698,6,22.528349578561038,3,19.974318080643027,9
1008.0,R-risk-only,17.582091893307698,6,24.439844344994427,2,20.974318080643027,9
1032.0,R-risk-only,18.582091893307698,6,24.267530385152504,3,21.277312191643937,11
1056.0,R-risk-only,19.306946437873684,9,24.095216425310575,4,22.625815136143473,10
1080.0,R-risk-only,20.215231286062345,10,26.267530385152504,3,23.277312191643937,11
1104.0,R-risk-only,21.215231286062345,10,27.267530385152504,3,24.277312191643937,11
1128.0,R-risk-only,22.123516134251005,11,28.267530385152504,3,25.277312191643937,11
1152.0,R-risk-only,23.49037674149636,7,30.439844344994427,2,26.277312191643937,11
1176.0,R-risk-only,23.36362395638286,4,31.439844344994427,2,27.277312191643937,11
1200.0,R-risk-only,24.36362395638286,4,32.43984434499443,2,28.277312191643937,11
1224.0,R-risk-only,25.36362395638286,4,33.43984434499443,2,29.277312191643937,11
1248.0,R-risk-only,25.804609391055685,5,34.43984434499443,2,29.23941043502009,11
1272.0,R-risk-only,26.245594825728514,6,34.2675303851525,3,30.23941043502009,11
1296.0,R-risk-only,26.127565695074157,8,34.09521642531057,4,31.23941043502009,11
1320.0,R-risk-only,28.245594825728514,6,35.09521642531057,4,32.69170355518201,10
1344.0,R-risk-only,17.670620618516566,5,36.095216425310575,4,32.78711731485815,12
