time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,R-risk-only,,0,,0,,0
24.0,R-risk-only,0.4239963376580467,1,,0,,0
48.0,R-risk-only,,0,,0,,0
72.0,R-risk-only,0.17506263687018966,3,0.35586743453883446,1,,0
96.0,R-risk-only,1.1608514987838763,5,1.3558674345388344,1,0.8122086652168061,1
120.0,R-risk-only,2.160851498783876,5,2.3558674345388346,1,1.8122086652168061,1
144.0,R-risk-only,2.045085314471361,1,3.3558674345388346,1,2.812208665216806,1
168.0,R-risk-only,0.7720446837132044,1,,0,3.812208665216806,1
192.0,R-risk-only,1.7303332320081317,2,,0,4.590527533848691,2
216.0,R-risk-only,0.1133201376170329,1,,0,5.551982113344429,2
240.0,R-risk-only,1.087242984766355,2,,0,6.291755561472051,3
264.0,R-risk-only,2.0611658319156767,3,,0,6.771302457727298,5
288.0,R-risk-only,2.9829343733636433,6,0.6312110616240124,1,7.771302457727299,5
312.0,R-risk-only,3.9945652049435525,2,1.6312110616240123,1,8.511075905854923,6
336.0,R-risk-only,,0,,0,9.511075905854923,6
360.0,R-risk-only,0.5773454547322695,1,,0,10.250849353982543,7
384.0,R-risk-only,,0,,0,11.511075905854923,6
408.0,R-risk-only,0.6722440689231656,1,0.5191529452944744,1,13.031529009599675,4
432.0,R-risk-only,1.6271442712043727,2,1.5191529452944745,1,14.031529009599675,4
456.0,R-risk-only,2.536944675766786,4,2.434992432085507,2,14.511075905854923,6
480.0,R-risk-only,3.627144271204372,2,3.434992432085507,2,15.771302457727298,5
504.0,R-risk-only,,0,2.835942681115135,1,16.771302457727298,5
528.0,R-risk-only,0.7269029191102271,2,3.835942681115135,1,17.771302457727298,5
552.0,R-risk-only,1.7189374490616227,3,4.835942681115135,1,18.771302457727298,5
576.0,R-risk-only,1.0168952913557259,2,,0,19.771302457727298,5
600.0,R-risk-only,1.9893589854704956,4,,0,19.990622802110167,8
624.0,R-risk-only,2.9480545266426503,7,,0,20.73039625023779,9
648.0,R-risk-only,2.8559772002516524,6,,0,21.73039625023779,9
672.0,R-risk-only,3.8803790940037253,5,,0,22.73039625023779,9
696.0,R-risk-only,4.855977200251652,6,0.3735648357287336,1,23.47016969836541,10
720.0,R-risk-only,5.855977200251652,6,1.3735648357287336,1,24.730396250237792,9
744.0,R-risk-only,3.170841068335464,2,2.373564835728734,1,25.47016969836541,10
768.0,R-risk-only,4.140590302588539,4,3.373564835728734,1,26.47016969836541,10
792.0,R-risk-only,5.140590302588539,4,4.373564835728733,1,27.47016969836541,10
816.0,R-risk-only,5.883458793739673,1,5.373564835728733,1,28.730396250237792,9
840.0,R-risk-only,6.883458793739673,1,6.373564835728733,1,29.990622802110167,8
864.0,R-risk-only,7.53612198142432,2,7.373564835728733,1,30.730396250237796,9
888.0,R-risk-only,8.188785169108966,3,8.373564835728734,1,31.730396250237796,9
912.0,R-risk-only,9.883458793739672,1,9.373564835728734,1,32.99062280211017,8
936.0,R-risk-only,10.370196812563318,2,9.855391677075147,2,33.730396250237796,9
960.0,R-risk-only,9.830410869034253,5,10.855391677075147,2,34.47016969836541,10
984.0,R-risk-only,11.700682052653224,3,11.855391677075147,2,35.730396250237796,9
1008.0,R-risk-only,2.0364234836632407,2,12.855391677075147,2,36.47016969836541,10
1032.0,R-risk-only,3.0364234836632407,2,13.855391677075147,2,36.94971659462066,12
1056.0,R-risk-only,4.036423483663241,2,14.855391677075147,2,38.47016969836541,10
1080.0,R-risk-only,4.978619786027376,5,15.337218518421558,3,39.47016969836541,10
1104.0,R-risk-only,5.95935188681542,6,16.337218518421558,3,39.94971659462066,12
1128.0,R-risk-only,6.95935188681542,6,17.337218518421558,3,40.94971659462066,12
1152.0,R-risk-only,8.03642348366324,2,18.337218518421558,3,41.68949004274828,13
1176.0,R-risk-only,9.03642348366324,2,19.337218518421558,3,42.94971659462066,12
1200.0,R-risk-only,10.017155584451286,3,20.337218518421558,3,43.94971659462066,12
1224.0,R-risk-only,11.03642348366324,2,21.337218518421558,3,44.94971659462066,12
1248.0,R-risk-only,12.03642348366324,2,21.81904535976797,4,45.94971659462066,12
1272.0,R-risk-only,13.03642348366324,2,22.81904535976797,4,46.94971659462066,12
1296.0,R-risk-only,14.017155584451286,3,23.300872201114387,5,47.42926349087591,14
1320.0,R-risk-only,15.017155584451286,3,24.300872201114387,5,48.42926349087591,14
1344.0,R-risk-only,15.940083987603465,7,16.192623729753638,4,49.42926349087591,14
